A1,A4,A5,A6,A7,A9,A10,A12,A13,A2,A3,A8,A11,A14,A15,target
3,3,2,13,5,3,2,3,2,33.17,1.04,6.5,0,164.0,31285,0
3,4,4,10,9,2,2,2,2,38.25,10.125,0.125,0,160.0,0,1
2,3,2,8,2,3,2,3,2,41.33,1.0,2.25,0,0.0,300,0
2,3,2,4,9,3,2,2,2,32.33,0.54,0.04,0,440.0,11177,0
2,3,2,3,9,3,3,3,2,28.75,3.75,1.085,1,371.0,0,0
3,3,2,3,9,3,3,2,2,20.42,1.835,2.25,1,100.0,150,0
3,3,2,7,4,2,3,2,2,31.25,2.835,0.0,5,176.0,146,1
2,4,4,2,9,3,2,3,2,19.17,0.585,0.585,0,160.0,0,1
3,3,2,4,5,3,3,2,2,32.83,2.5,2.75,6,160.0,2072,0
2,3,2,12,9,2,3,2,2,16.5,1.25,0.25,1,108.0,98,1
3,3,2,14,9,3,2,2,2,19.17,9.5,1.5,0,120.0,2206,0
3,3,2,14,9,2,3,2,2,25.42,0.54,0.165,1,272.0,444,1
3,3,2,2,9,2,2,3,2,28.58,3.625,0.25,0,100.0,0,1
3,3,2,3,9,3,2,2,2,21.5,9.75,0.25,0,140.0,0,1
3,3,2,3,9,3,2,3,2,21.33,10.5,3.0,0,0.0,0,0
3,4,4,14,9,2,2,3,2,33.0,2.5,7.0,0,280.0,0,1
2,3,2,2,5,2,2,2,2,52.5,7.0,3.0,0,0.0,0,1
3,3,2,3,9,2,2,2,2,39.5,1.625,1.5,0,0.0,316,1
3,4,4,14,5,3,2,3,2,32.67,9.0,5.25,0,154.0,0,0
3,3,2,15,5,3,3,3,2,34.92,5.0,7.5,6,0.0,1000,0
2,3,2,7,4,2,2,2,2,17.92,10.21,0.0,0,0.0,50,1
2,3,2,10,2,3,3,3,2,33.75,0.75,1.0,3,212.0,0,1
3,4,4,3,9,3,2,2,2,35.25,16.5,4.0,0,80.0,0,1
3,3,2,3,5,2,3,3,2,25.67,3.25,2.29,1,416.0,21,1
3,3,2,0,0,3,2,2,2,80.25,5.5,0.54,0,0.0,340,1
2,3,2,7,4,2,3,2,2,57.58,2.0,6.5,1,0.0,10,1
2,3,2,5,9,2,2,2,2,32.0,6.0,1.25,0,272.0,0,1
3,3,2,14,2,3,2,3,2,34.25,1.75,0.25,0,163.0,0,1
3,3,2,15,5,3,3,3,2,35.17,25.125,1.625,1,515.0,500,0
2,3,2,7,4,2,2,2,2,27.33,1.665,0.0,0,340.0,1,1
3,3,2,15,5,3,3,2,2,27.67,2.0,1.0,4,140.0,7544,0
3,3,2,12,5,3,3,2,2,43.25,3.0,6.0,11,80.0,0,0
3,3,2,3,9,3,3,3,2,63.33,0.54,0.585,3,180.0,0,1
3,4,4,5,9,2,2,3,2,37.5,1.125,1.5,0,431.0,0,0
3,3,2,3,5,3,3,3,2,54.33,6.75,2.625,11,0.0,284,0
3,3,2,3,2,3,2,3,4,37.17,4.0,5.0,0,280.0,0,1
3,4,4,3,2,3,3,3,2,28.25,5.04,1.5,8,144.0,7,0
3,4,4,14,9,2,2,2,4,34.83,2.5,3.0,0,200.0,0,1
3,3,2,11,9,3,3,3,2,44.0,2.0,1.75,2,0.0,15,0
2,3,2,10,5,3,3,3,2,55.75,7.08,6.75,3,100.0,50,1
3,3,2,4,9,2,2,2,2,26.17,0.835,1.165,0,100.0,0,1
2,3,2,12,9,2,3,3,2,23.58,0.83,0.415,1,200.0,11,1
3,4,4,8,5,2,2,2,2,21.08,4.125,0.04,0,140.0,100,1
3,3,2,8,2,3,2,2,2,42.75,3.0,1.0,0,0.0,200,1
2,4,4,12,9,3,2,3,2,22.5,11.0,3.0,0,268.0,0,1
2,4,4,3,9,2,2,3,2,33.25,2.5,2.5,0,0.0,2,1
3,3,2,3,9,2,2,2,2,16.17,0.04,0.04,0,0.0,0,0
3,3,2,10,9,2,2,3,2,21.83,1.54,0.085,0,356.0,0,1
2,3,2,12,9,3,3,2,2,22.5,8.5,1.75,10,80.0,990,1
2,3,2,14,9,2,2,3,2,27.67,2.04,0.25,0,180.0,50,1
3,4,4,3,9,2,2,2,2,30.17,1.085,0.04,0,170.0,179,1
2,4,4,9,4,2,2,2,2,17.67,0.0,0.0,0,86.0,0,1
3,3,2,3,2,3,2,2,2,41.33,0.0,15.0,0,0.0,0,0
3,4,4,8,2,3,3,3,2,34.5,4.04,8.5,7,195.0,0,0
2,3,2,2,9,3,3,2,2,21.5,6.0,2.5,3,80.0,918,0
3,4,4,3,9,2,2,3,2,25.67,0.29,1.5,0,160.0,0,1
3,3,2,3,9,2,2,3,4,21.17,0.0,0.5,0,0.0,0,1
3,3,2,6,3,2,3,2,2,24.42,2.0,0.165,2,320.0,1300,1
2,4,4,7,4,3,3,2,2,24.5,1.04,0.5,3,180.0,147,1
2,3,2,12,9,3,3,2,2,58.33,10.0,4.0,14,0.0,1602,0
3,3,2,10,9,3,2,2,2,18.08,5.5,0.5,0,80.0,0,0
3,4,4,3,9,2,3,2,2,23.75,0.415,0.04,2,128.0,6,1
3,4,4,3,9,2,2,3,2,19.0,1.75,2.335,0,112.0,6,1
2,3,2,2,9,3,3,2,2,18.92,9.0,0.75,2,88.0,591,0
3,3,2,11,9,2,2,3,4,23.0,0.75,0.5,0,320.0,0,1
3,3,2,3,9,2,3,3,2,22.17,12.125,3.335,2,180.0,173,1
3,3,2,3,2,3,2,3,2,23.25,4.0,0.25,0,160.0,0,0
3,3,2,8,2,2,2,3,2,26.92,2.25,0.5,0,640.0,4000,1
2,3,2,3,9,3,2,2,2,44.33,0.0,2.5,0,0.0,0,0
2,3,2,8,9,2,2,2,2,20.75,9.54,0.04,0,200.0,1000,1
3,3,2,3,9,2,3,2,2,38.42,0.705,0.375,2,225.0,500,1
3,3,2,11,9,2,3,3,2,29.58,4.75,2.0,1,460.0,68,1
3,3,2,4,5,3,3,3,2,39.33,5.875,10.0,14,399.0,0,0
3,0,0,0,0,2,2,2,3,34.58,0.0,0.0,0,160.0,0,1
3,3,2,11,9,3,3,2,2,33.58,2.75,4.25,6,204.0,0,0
3,3,2,11,9,3,3,2,2,25.5,0.375,0.25,3,260.0,15108,0
3,0,0,0,0,2,2,2,3,37.58,0.0,0.0,0,160.0,0,0
2,3,2,12,9,2,2,2,2,15.92,2.875,0.085,0,120.0,0,1
3,3,2,3,9,3,3,3,2,16.08,0.75,1.75,5,352.0,690,0
3,3,2,14,9,3,3,3,2,29.58,4.5,7.5,2,330.0,0,0
3,3,2,11,9,3,2,3,2,48.5,4.25,0.125,0,225.0,0,0
3,3,2,3,9,2,2,2,2,24.58,1.25,0.25,0,110.0,0,1
3,3,2,8,9,2,2,3,2,35.0,2.5,1.0,0,210.0,0,1
2,3,2,3,9,3,3,3,2,47.75,8.0,7.875,6,0.0,1260,0
3,4,4,10,5,2,2,3,2,26.17,12.5,1.25,0,0.0,17,1
3,3,2,3,7,2,3,3,2,18.17,2.46,0.96,2,160.0,587,1
2,4,4,9,6,2,2,2,2,21.75,1.75,0.0,0,160.0,0,1
2,3,2,8,5,2,2,2,2,37.33,2.5,0.21,0,260.0,246,1
2,3,2,2,9,3,3,3,2,24.75,12.5,1.5,12,120.0,567,0
3,3,2,8,5,3,2,2,2,42.0,0.205,5.125,0,400.0,0,0
3,3,2,3,9,3,2,2,2,31.42,15.5,0.5,0,120.0,0,1
2,3,2,3,9,2,2,3,2,21.75,11.75,0.25,0,180.0,0,1
2,3,2,8,9,2,2,3,4,22.5,0.415,0.335,0,144.0,0,1
3,3,2,7,4,2,3,2,2,69.17,9.0,4.0,1,70.0,6,1
3,3,2,14,9,3,3,3,2,59.5,2.75,1.75,5,60.0,58,0
3,3,2,10,9,2,2,2,2,19.5,0.29,0.29,0,280.0,364,1
3,3,2,14,9,3,3,3,2,27.83,1.5,2.0,11,434.0,35,0
3,3,2,8,9,3,3,2,2,18.5,2.0,1.5,2,120.0,300,0
3,3,2,3,9,2,2,2,2,28.92,0.375,0.29,0,220.0,140,1
2,3,2,4,9,3,2,3,2,38.58,5.0,13.5,0,980.0,0,1
2,3,2,2,9,2,2,3,2,50.25,0.835,0.5,0,240.0,117,1
3,0,0,0,0,2,2,2,3,23.17,0.0,0.0,0,160.0,0,0
3,4,4,3,5,3,3,3,2,33.17,3.04,2.04,1,180.0,18027,0
3,4,4,5,9,3,2,3,4,24.33,6.625,5.5,0,100.0,0,0
3,3,2,10,5,3,2,3,2,56.0,12.5,8.0,0,24.0,2028,0
3,3,2,14,9,3,3,3,2,42.08,1.04,5.0,6,500.0,10000,0
3,4,4,3,5,3,2,2,2,62.5,12.75,5.0,0,112.0,0,1
2,3,2,2,9,3,2,2,2,20.83,3.0,0.04,0,100.0,0,0
3,4,4,5,5,2,2,2,2,27.83,1.0,3.0,0,176.0,537,1
3,4,4,14,9,2,2,2,2,41.17,1.25,0.25,0,0.0,195,1
2,3,2,12,5,3,3,2,2,35.42,12.0,14.0,8,0.0,6590,0
3,4,4,14,9,2,2,2,4,31.08,1.5,0.04,0,160.0,0,1
3,3,2,12,9,2,2,2,2,36.5,4.25,3.5,0,454.0,50,1
3,4,4,2,9,3,3,2,2,39.92,0.54,0.5,3,200.0,1000,0
2,4,4,3,5,3,2,2,2,18.83,4.415,3.0,0,240.0,0,0
3,3,2,10,9,2,3,2,4,23.08,0.0,1.0,11,0.0,0,1
3,3,2,4,9,3,2,2,2,22.08,11.0,0.665,0,100.0,0,0
3,3,2,11,9,2,2,3,2,24.75,0.54,1.0,0,120.0,1,1
2,3,2,3,2,3,3,3,2,30.5,6.5,4.0,7,0.0,3065,0
2,4,4,6,3,2,2,2,2,20.83,0.5,1.0,0,260.0,0,1
3,3,2,3,9,3,3,2,2,40.58,5.0,5.0,7,0.0,3065,0
2,4,4,10,5,2,2,3,2,23.58,11.5,3.0,0,20.0,16,1
2,3,2,7,4,3,2,2,2,24.92,1.25,0.0,0,80.0,0,1
2,3,2,9,6,2,3,2,2,23.0,1.835,0.0,1,200.0,53,1
3,4,4,6,5,2,2,2,2,21.08,10.085,1.25,0,260.0,0,1
3,3,2,11,9,3,3,2,2,22.83,3.0,1.29,1,260.0,800,0
3,4,4,5,9,3,2,2,4,44.25,11.0,1.5,0,0.0,0,1
2,3,2,2,9,2,2,2,2,41.58,1.04,0.665,0,240.0,237,1
2,3,2,5,9,3,2,3,2,28.46,3.5,3.0,0,300.0,0,1
3,3,2,4,9,3,3,3,2,39.0,5.0,3.5,10,0.0,0,0
3,4,4,11,2,3,3,3,2,34.08,0.08,0.04,1,280.0,2000,0
3,3,2,10,9,2,2,3,2,22.25,0.46,0.125,0,280.0,55,1
2,3,2,7,4,2,3,2,2,35.17,3.75,0.0,6,0.0,200,1
3,3,2,11,9,3,3,2,2,39.25,9.5,6.5,14,240.0,4607,0
3,3,2,5,9,2,2,2,2,28.67,14.5,0.125,0,0.0,286,1
2,3,2,3,5,3,3,2,2,20.33,10.0,1.0,4,50.0,1465,0
3,4,4,12,5,2,3,3,2,27.58,3.25,5.085,2,369.0,1,1
2,3,2,10,5,3,2,3,2,49.83,13.585,8.5,0,0.0,0,0
3,3,2,8,2,2,2,3,2,43.17,5.0,2.25,0,141.0,0,1
2,3,2,6,2,3,3,2,2,47.42,8.0,6.5,6,375.0,51100,0
3,4,4,3,9,2,3,2,2,18.83,0.415,0.165,1,200.0,1,1
3,3,2,2,9,2,2,2,2,17.92,0.205,0.04,0,280.0,750,1
3,3,2,3,9,3,2,3,2,45.17,1.5,2.5,0,140.0,0,1
2,4,4,15,9,2,2,2,2,29.5,1.085,1.0,0,280.0,13,1
3,3,2,8,9,2,3,3,2,22.67,0.75,1.585,1,400.0,9,1
3,3,2,2,9,2,2,2,2,25.25,1.0,0.5,0,200.0,0,1
3,3,2,12,9,3,3,2,2,18.67,5.0,0.375,2,0.0,38,1
3,4,4,7,4,2,2,2,2,24.58,13.5,0.0,0,160.0,0,1
3,3,2,11,9,3,2,2,4,16.25,0.835,0.085,0,200.0,0,1
3,3,2,10,9,2,2,3,2,17.25,3.0,0.04,0,160.0,40,1
3,3,2,14,9,3,2,3,2,36.33,3.79,1.165,0,200.0,0,1
3,3,2,3,9,3,3,2,2,30.17,0.5,1.75,11,32.0,540,0
3,3,2,11,9,3,3,3,2,28.25,0.875,0.96,3,396.0,0,0
3,3,2,4,9,3,2,2,2,23.17,0.0,0.085,0,0.0,0,0
2,3,2,12,9,3,3,3,2,44.17,6.665,7.375,3,0.0,0,0
3,3,2,8,2,2,2,2,4,40.58,1.5,0.0,0,300.0,0,1
2,3,2,2,5,3,2,2,2,24.58,0.67,1.75,0,400.0,0,1
2,3,2,12,5,3,3,2,2,19.67,0.21,0.29,11,80.0,99,0
2,3,2,12,5,2,3,3,2,30.58,10.665,0.085,12,129.0,3,1
3,3,2,11,9,2,3,3,2,42.83,1.25,13.875,1,352.0,112,1
2,3,2,7,4,3,3,2,2,64.08,0.165,0.0,1,232.0,100,0
3,3,2,14,9,2,2,2,2,47.17,5.835,5.5,0,465.0,150,1
3,3,2,10,9,2,2,3,2,35.58,0.75,1.5,0,231.0,0,1
2,3,2,3,9,2,3,3,2,22.67,0.75,2.0,2,200.0,394,1
3,3,2,11,9,2,2,3,4,40.58,3.29,3.5,0,400.0,0,1
3,4,4,7,4,2,2,2,2,22.17,0.585,0.0,0,100.0,0,1
3,4,4,3,9,2,2,2,2,17.08,0.085,0.04,0,140.0,722,1
3,3,2,3,9,3,3,2,2,24.83,2.75,2.25,6,160.0,600,0
3,3,2,3,5,3,2,2,2,23.42,0.585,0.085,0,180.0,0,1
3,4,4,4,9,2,2,2,2,21.58,0.79,0.665,0,160.0,0,1
3,4,4,10,9,2,2,2,2,22.5,0.125,0.125,0,200.0,70,1
3,3,2,3,5,2,2,3,2,35.0,3.375,8.29,0,0.0,0,1
3,3,2,14,9,3,3,2,2,38.58,3.335,4.0,14,383.0,1344,0
3,3,2,15,9,3,3,3,2,39.17,1.71,0.125,5,480.0,0,0
3,3,2,2,9,3,2,3,2,27.25,0.625,0.455,0,200.0,0,1
3,3,2,4,9,3,3,3,2,25.67,12.5,1.21,67,140.0,258,0
2,3,2,12,9,3,3,3,2,41.17,6.5,0.5,3,145.0,0,0
3,3,2,2,9,3,3,3,2,29.25,14.79,5.04,5,168.0,0,0
3,4,4,10,9,3,3,3,2,36.67,4.415,0.25,10,320.0,0,0
0,3,2,8,2,2,2,2,4,40.83,3.5,0.5,0,1160.0,0,1
3,3,2,14,5,3,3,2,2,29.67,1.415,0.75,1,240.0,100,0
3,3,2,7,4,2,2,2,2,49.17,2.29,0.29,0,200.0,3,1
3,3,2,5,5,2,2,2,2,29.25,13.0,0.5,0,228.0,0,1
2,3,2,14,5,2,3,2,2,30.42,1.375,0.04,3,0.0,33,1
3,3,2,3,5,3,2,2,2,29.92,1.835,4.335,0,260.0,200,0
2,3,2,12,5,3,3,2,2,33.08,4.625,1.625,2,0.0,0,0
3,4,4,14,9,3,3,3,2,13.75,4.0,1.75,2,120.0,1000,0
3,3,2,4,9,3,3,2,2,25.17,3.5,0.625,7,0.0,7059,0
3,3,2,11,9,2,3,2,2,24.08,0.875,0.085,4,254.0,1950,1
3,3,2,15,5,3,3,3,2,64.08,20.0,17.5,9,0.0,1000,0
2,3,2,3,9,3,3,2,2,36.0,1.0,2.0,11,0.0,456,0
3,3,2,14,9,3,2,3,2,27.67,13.75,5.75,0,487.0,500,0
3,3,2,3,9,3,3,3,2,25.75,0.5,1.46,5,312.0,0,0
2,3,2,6,3,3,3,3,2,30.0,5.29,2.25,5,99.0,500,0
3,3,2,12,7,2,2,2,2,18.0,0.165,0.21,0,200.0,40,0
3,3,2,3,9,3,3,2,2,20.42,7.0,1.625,3,200.0,1391,0
3,3,2,5,5,3,3,2,2,23.92,1.5,1.875,6,200.0,327,0
2,3,2,2,9,2,3,3,2,17.33,9.5,1.75,10,0.0,10,1
2,4,4,3,9,2,2,2,2,24.5,2.415,0.0,0,120.0,0,1
3,3,2,2,9,3,2,3,4,25.0,12.5,3.0,0,20.0,0,0
3,4,4,4,9,2,2,2,2,33.58,0.335,0.085,0,180.0,0,1
2,3,2,7,4,2,2,2,4,69.5,6.0,0.0,0,0.0,0,1
3,4,4,14,9,3,2,3,2,42.5,4.915,3.165,0,52.0,1442,0
3,3,2,12,5,2,2,3,2,27.67,0.75,0.165,0,220.0,251,1
3,3,2,10,9,2,2,2,2,22.08,2.335,0.75,0,180.0,0,1
3,3,2,14,9,2,2,2,2,26.25,1.54,0.125,0,100.0,0,1
3,3,2,4,5,3,3,2,2,27.25,1.665,5.085,9,399.0,827,0
2,3,2,12,5,3,3,2,2,24.75,3.0,1.835,19,0.0,500,0
2,4,4,9,6,3,3,3,2,21.67,11.5,0.0,11,0.0,0,0
0,4,4,0,0,2,2,2,4,26.5,2.71,0.085,0,80.0,0,1
3,3,2,5,9,2,2,3,2,52.42,1.5,3.75,0,0.0,350,1
3,4,4,3,2,2,2,2,2,26.75,4.5,2.5,0,200.0,1210,1
3,3,2,2,9,3,2,3,2,34.08,6.5,0.125,0,443.0,0,1
3,4,4,14,9,3,3,3,2,23.58,0.46,2.625,6,208.0,347,1
3,4,4,7,4,2,2,2,2,51.83,3.0,1.5,0,180.0,4,1
3,3,2,6,3,3,2,2,2,20.25,9.96,0.0,0,0.0,0,0
3,3,2,2,9,2,2,2,2,19.5,9.585,0.79,0,80.0,350,1
3,4,4,2,9,3,2,2,2,18.42,10.415,0.125,0,120.0,375,1
3,4,4,7,4,2,2,2,2,51.83,2.04,1.5,0,120.0,1,1
3,3,2,12,9,3,2,3,2,26.0,1.0,1.75,0,280.0,0,0
3,3,2,10,4,2,2,2,2,26.83,0.54,0.0,0,100.0,0,1
3,3,2,14,9,3,3,3,2,29.17,3.5,3.5,3,329.0,0,1
2,3,2,12,5,3,2,2,2,24.5,0.5,1.5,0,280.0,824,0
3,3,2,6,10,3,3,3,2,76.75,22.29,12.75,1,0.0,109,0
2,4,4,7,4,2,2,3,2,56.83,4.25,5.0,0,0.0,4,1
3,3,2,14,9,2,3,3,2,27.83,1.5,2.25,1,100.0,3,1
3,3,2,2,9,3,3,2,2,20.17,8.17,1.96,14,60.0,158,0
2,3,2,12,9,3,3,2,2,20.42,0.835,1.585,1,0.0,0,0
2,3,2,12,9,3,3,3,2,28.5,1.0,1.0,2,167.0,500,1
2,3,2,3,9,2,2,2,2,15.75,0.375,1.0,0,120.0,18,1
3,3,2,3,9,2,2,3,2,23.58,1.79,0.54,0,136.0,1,1
2,4,4,8,5,2,2,3,2,34.83,1.25,0.5,0,160.0,0,1
2,3,2,3,9,3,3,3,2,19.75,0.75,0.795,5,140.0,5,1
2,3,2,6,9,3,2,3,2,36.75,5.125,5.0,0,0.0,4000,0
3,4,4,10,4,2,2,2,2,32.42,2.165,0.0,0,120.0,0,1
3,3,2,10,9,2,2,3,2,22.08,11.46,1.585,0,100.0,1212,1
2,4,4,2,9,3,2,2,2,25.0,11.0,4.5,0,120.0,0,1
3,3,2,6,9,3,3,2,2,53.92,9.625,8.665,5,0.0,0,0
3,4,4,9,9,2,2,2,2,20.75,5.085,0.29,0,140.0,184,1
2,4,4,7,4,2,2,3,2,26.58,2.54,0.0,0,180.0,60,1
2,3,2,2,9,3,3,2,2,35.75,0.915,0.75,4,0.0,1583,0
3,4,4,2,9,2,2,2,2,16.25,0.0,0.25,0,60.0,0,1
3,3,2,7,4,2,3,2,2,39.58,5.0,0.0,2,17.0,1,1
