dataset,model,folds,fold_count,fold_metrics_count,tuning_count,tuning_metrics_count,has_all_folds,has_tuning,complete
asia_lung,lr,"1,2,3,4,5",5,5,3,3,True,True,True
balance_scale,lr,"1,2,3,4,5",5,5,3,3,True,True,True
car_evaluation,lr,"1,2,3,4,5",5,5,3,3,True,True,True
census_income_kdd,lr,"1,2,3,4,5",5,5,3,3,True,True,True
cleveland,lr,"1,2,3,4,5",5,5,3,3,True,True,True
conf_ad,lr,"1,2,3,4,5",5,5,3,3,True,True,True
connect_4,lr,"1,2,3,4,5",5,5,3,3,True,True,True
coronary,lr,"1,2,3,4,5",5,5,3,3,True,True,True
credit_approval,lr,"1,2,3,4,5",5,5,3,3,True,True,True
dmft,lr,"1,2,3,4,5",5,5,3,3,True,True,True
german_gss,lr,"1,2,3,4,5",5,5,3,3,True,True,True
hayesroth,lr,"1,2,3,4,5",5,5,3,3,True,True,True
house_votes_84,lr,"1,2,3,4,5",5,5,3,3,True,True,True
krkopt,lr,"1,2,3,4,5",5,5,3,3,True,True,True
led7,lr,"1,2,3,4,5",5,5,3,3,True,True,True
mofn,lr,"1,2,3,4,5",5,5,3,3,True,True,True
nursery,lr,"1,2,3,4,5",5,5,3,3,True,True,True
parity5p5,lr,"1,2,3,4,5",5,5,3,3,True,True,True
phiusiil_phishing,lr,"1,2,3,4,5",5,5,3,3,True,True,True
ppd,lr,"1,2,3,4,5",5,5,3,3,True,True,True
primary_tumor,lr,"1,2,3,4,5",5,5,3,3,True,True,True
ptumor,lr,"1,2,3,4,5",5,5,3,3,True,True,True
rt_iot2022,lr,"1,2,3,4,5",5,5,3,3,True,True,True
secondary_mushroom,lr,"1,2,3,4,5",5,5,3,3,True,True,True
sensorless_drive,lr,"1,2,3,4,5",5,5,3,3,True,True,True
sensory,lr,"1,2,3,4,5",5,5,3,3,True,True,True
shuttle,lr,"1,2,3,4,5",5,5,3,3,True,True,True
skin_segmentation,lr,"1,2,3,4,5",5,5,3,3,True,True,True
three_of_nine,lr,"1,2,3,4,5",5,5,3,3,True,True,True
vehicle,lr,"1,2,3,4,5",5,5,3,3,True,True,True
xd6,lr,"1,2,3,4,5",5,5,3,3,True,True,True
asia_lung,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
balance_scale,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
car_evaluation,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
census_income_kdd,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
cleveland,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
conf_ad,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
connect_4,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
coronary,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
credit_approval,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
dmft,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
german_gss,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
hayesroth,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
house_votes_84,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
krkopt,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
led7,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
mofn,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
nursery,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
parity5p5,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
phiusiil_phishing,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
ppd,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
primary_tumor,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
ptumor,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
rt_iot2022,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
secondary_mushroom,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
sensorless_drive,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
sensory,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
shuttle,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
skin_segmentation,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
three_of_nine,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
vehicle,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
xd6,mlp,"1,2,3,4,5",5,5,27,27,True,True,True
asia_lung,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
balance_scale,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
car_evaluation,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
census_income_kdd,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
cleveland,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
conf_ad,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
connect_4,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
coronary,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
credit_approval,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
dmft,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
german_gss,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
hayesroth,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
house_votes_84,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
krkopt,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
led7,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
mofn,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
nursery,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
parity5p5,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
phiusiil_phishing,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
ppd,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
primary_tumor,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
ptumor,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
rt_iot2022,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
secondary_mushroom,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
sensorless_drive,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
sensory,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
shuttle,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
skin_segmentation,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
three_of_nine,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
vehicle,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
xd6,cpd,"1,2,3,4,5",5,5,12,12,True,True,True
asia_lung,mba,"1,2,3,4,5",5,5,6,6,True,True,True
balance_scale,mba,"1,2,3,4,5",5,5,6,6,True,True,True
car_evaluation,mba,"1,2,3,4,5",5,5,6,6,True,True,True
census_income_kdd,mba,"1,2,3,4,5",5,5,6,6,True,True,True
cleveland,mba,"1,2,3,4,5",5,5,6,6,True,True,True
conf_ad,mba,"1,2,3,4,5",5,5,6,6,True,True,True
connect_4,mba,"1,2,3,4,5",5,5,6,6,True,True,True
coronary,mba,"1,2,3,4,5",5,5,6,6,True,True,True
credit_approval,mba,"1,2,3,4,5",5,5,6,6,True,True,True
dmft,mba,"1,2,3,4,5",5,5,6,6,True,True,True
german_gss,mba,"1,2,3,4,5",5,5,6,6,True,True,True
hayesroth,mba,"1,2,3,4,5",5,5,6,6,True,True,True
house_votes_84,mba,"1,2,3,4,5",5,5,6,6,True,True,True
krkopt,mba,"1,2,3,4,5",5,5,6,6,True,True,True
led7,mba,"1,2,3,4,5",5,5,6,6,True,True,True
mofn,mba,"1,2,3,4,5",5,5,6,6,True,True,True
nursery,mba,"1,2,3,4,5",5,5,6,6,True,True,True
parity5p5,mba,"1,2,3,4,5",5,5,6,6,True,True,True
phiusiil_phishing,mba,"1,2,3,4,5",5,5,6,6,True,True,True
ppd,mba,"1,2,3,4,5",5,5,6,6,True,True,True
primary_tumor,mba,"1,2,3,4,5",5,5,6,6,True,True,True
ptumor,mba,"1,2,3,4,5",5,5,6,6,True,True,True
secondary_mushroom,mba,"1,2,3,4,5",5,5,6,6,True,True,True
sensorless_drive,mba,"1,2,3,4,5",5,5,6,6,True,True,True
sensory,mba,"1,2,3,4,5",5,5,6,6,True,True,True
shuttle,mba,"1,2,3,4,5",5,5,6,6,True,True,True
skin_segmentation,mba,"1,2,3,4,5",5,5,6,6,True,True,True
three_of_nine,mba,"1,2,3,4,5",5,5,6,6,True,True,True
vehicle,mba,"1,2,3,4,5",5,5,6,6,True,True,True
xd6,mba,"1,2,3,4,5",5,5,6,6,True,True,True
asia_lung,tt,"1,2,3,4,5",5,5,12,12,True,True,True
balance_scale,tt,"1,2,3,4,5",5,5,12,12,True,True,True
car_evaluation,tt,"1,2,3,4,5",5,5,12,12,True,True,True
census_income_kdd,tt,"1,2,3,4,5",5,5,12,12,True,True,True
cleveland,tt,"1,2,3,4,5",5,5,12,12,True,True,True
conf_ad,tt,"1,2,3,4,5",5,5,12,12,True,True,True
connect_4,tt,"1,2,3,4,5",5,5,12,12,True,True,True
coronary,tt,"1,2,3,4,5",5,5,12,12,True,True,True
credit_approval,tt,"1,2,3,4,5",5,5,12,12,True,True,True
dmft,tt,"1,2,3,4,5",5,5,12,12,True,True,True
german_gss,tt,"1,2,3,4,5",5,5,12,12,True,True,True
hayesroth,tt,"1,2,3,4,5",5,5,12,12,True,True,True
house_votes_84,tt,"1,2,3,4,5",5,5,12,12,True,True,True
krkopt,tt,"1,2,3,4,5",5,5,12,12,True,True,True
led7,tt,"1,2,3,4,5",5,5,12,12,True,True,True
mofn,tt,"1,2,3,4,5",5,5,12,12,True,True,True
nursery,tt,"1,2,3,4,5",5,5,12,12,True,True,True
parity5p5,tt,"1,2,3,4,5",5,5,12,12,True,True,True
phiusiil_phishing,tt,"1,2,3,4,5",5,5,12,12,True,True,True
ppd,tt,"1,2,3,4,5",5,5,12,12,True,True,True
primary_tumor,tt,"1,2,3,4,5",5,5,12,12,True,True,True
ptumor,tt,"1,2,3,4,5",5,5,12,12,True,True,True
rt_iot2022,tt,"1,2,3,4,5",5,5,12,12,True,True,True
secondary_mushroom,tt,"1,2,3,4,5",5,5,12,12,True,True,True
sensorless_drive,tt,"1,2,3,4,5",5,5,12,12,True,True,True
sensory,tt,"1,2,3,4,5",5,5,12,12,True,True,True
shuttle,tt,"1,2,3,4,5",5,5,12,12,True,True,True
skin_segmentation,tt,"1,2,3,4,5",5,5,12,12,True,True,True
three_of_nine,tt,"1,2,3,4,5",5,5,12,12,True,True,True
vehicle,tt,"1,2,3,4,5",5,5,12,12,True,True,True
xd6,tt,"1,2,3,4,5",5,5,12,12,True,True,True
asia_lung,tr,"1,2,3,4,5",5,5,12,12,True,True,True
balance_scale,tr,"1,2,3,4,5",5,5,12,12,True,True,True
car_evaluation,tr,"1,2,3,4,5",5,5,12,12,True,True,True
census_income_kdd,tr,"1,2,3,4,5",5,5,12,12,True,True,True
cleveland,tr,"1,2,3,4,5",5,5,12,12,True,True,True
conf_ad,tr,"1,2,3,4,5",5,5,12,12,True,True,True
connect_4,tr,"1,2,3,4,5",5,5,12,12,True,True,True
coronary,tr,"1,2,3,4,5",5,5,12,12,True,True,True
credit_approval,tr,"1,2,3,4,5",5,5,12,12,True,True,True
dmft,tr,"1,2,3,4,5",5,5,12,12,True,True,True
german_gss,tr,"1,2,3,4,5",5,5,12,12,True,True,True
hayesroth,tr,"1,2,3,4,5",5,5,12,12,True,True,True
house_votes_84,tr,"1,2,3,4,5",5,5,12,12,True,True,True
krkopt,tr,"1,2,3,4,5",5,5,12,12,True,True,True
led7,tr,"1,2,3,4,5",5,5,12,12,True,True,True
mofn,tr,"1,2,3,4,5",5,5,12,12,True,True,True
nursery,tr,"1,2,3,4,5",5,5,12,12,True,True,True
parity5p5,tr,"1,2,3,4,5",5,5,12,12,True,True,True
phiusiil_phishing,tr,"1,2,3,4,5",5,5,12,12,True,True,True
ppd,tr,"1,2,3,4,5",5,5,12,12,True,True,True
primary_tumor,tr,"1,2,3,4,5",5,5,12,12,True,True,True
ptumor,tr,"1,2,3,4,5",5,5,12,12,True,True,True
rt_iot2022,tr,"1,2,3,4,5",5,5,12,12,True,True,True
secondary_mushroom,tr,"1,2,3,4,5",5,5,12,12,True,True,True
sensorless_drive,tr,"1,2,3,4,5",5,5,12,12,True,True,True
sensory,tr,"1,2,3,4,5",5,5,12,12,True,True,True
shuttle,tr,"1,2,3,4,5",5,5,12,12,True,True,True
skin_segmentation,tr,"1,2,3,4,5",5,5,12,12,True,True,True
three_of_nine,tr,"1,2,3,4,5",5,5,12,12,True,True,True
vehicle,tr,"1,2,3,4,5",5,5,12,12,True,True,True
xd6,tr,"1,2,3,4,5",5,5,12,12,True,True,True
asia_lung,rf,"1,2,3,4,5",5,5,36,36,True,True,True
balance_scale,rf,"1,2,3,4,5",5,5,36,36,True,True,True
car_evaluation,rf,"1,2,3,4,5",5,5,36,36,True,True,True
census_income_kdd,rf,"1,2,3,4,5",5,5,36,36,True,True,True
cleveland,rf,"1,2,3,4,5",5,5,36,36,True,True,True
conf_ad,rf,"1,2,3,4,5",5,5,36,36,True,True,True
connect_4,rf,"1,2,3,4,5",5,5,36,36,True,True,True
coronary,rf,"1,2,3,4,5",5,5,36,36,True,True,True
credit_approval,rf,"1,2,3,4,5",5,5,36,36,True,True,True
dmft,rf,"1,2,3,4,5",5,5,36,36,True,True,True
german_gss,rf,"1,2,3,4,5",5,5,36,36,True,True,True
hayesroth,rf,"1,2,3,4,5",5,5,36,36,True,True,True
house_votes_84,rf,"1,2,3,4,5",5,5,36,36,True,True,True
krkopt,rf,"1,2,3,4,5",5,5,36,36,True,True,True
led7,rf,"1,2,3,4,5",5,5,36,36,True,True,True
mofn,rf,"1,2,3,4,5",5,5,36,36,True,True,True
nursery,rf,"1,2,3,4,5",5,5,36,36,True,True,True
parity5p5,rf,"1,2,3,4,5",5,5,36,36,True,True,True
phiusiil_phishing,rf,"1,2,3,4,5",5,5,36,36,True,True,True
ppd,rf,"1,2,3,4,5",5,5,36,36,True,True,True
primary_tumor,rf,"1,2,3,4,5",5,5,36,36,True,True,True
ptumor,rf,"1,2,3,4,5",5,5,36,36,True,True,True
rt_iot2022,rf,"1,2,3,4,5",5,5,36,36,True,True,True
secondary_mushroom,rf,"1,2,3,4,5",5,5,36,36,True,True,True
sensorless_drive,rf,"1,2,3,4,5",5,5,36,36,True,True,True
sensory,rf,"1,2,3,4,5",5,5,36,36,True,True,True
shuttle,rf,"1,2,3,4,5",5,5,36,36,True,True,True
skin_segmentation,rf,"1,2,3,4,5",5,5,36,36,True,True,True
three_of_nine,rf,"1,2,3,4,5",5,5,36,36,True,True,True
vehicle,rf,"1,2,3,4,5",5,5,36,36,True,True,True
xd6,rf,"1,2,3,4,5",5,5,36,36,True,True,True
