dataset,metric,lr,mlp,cpd,mba,tt,tt3,tr,rf
aps_failure,fit_seconds,,,,242.45017624367028,,,,
asia_lung,fit_seconds,63.11301630623639,18.63131192997098,22.69325527518522,46.36975407341961,26.17291519441642,,26.26682595121674,
balance_scale,fit_seconds,57.30560456467792,46.92692035639193,30.934683644981124,44.73299140823074,41.1632484273985,,42.99987937025726,
car_evaluation,fit_seconds,59.90086659346707,46.00430698441342,39.25107296477072,46.489464449021035,36.4461176219862,,40.68993274918758,
census_income_kdd,fit_seconds,,266.4267520762049,,,414.84453377183524,,232.29560991570665,
cleveland,fit_seconds,35.05792518160306,36.583949518599546,28.273652860033327,19.194696615822615,30.644236609013753,,34.823716160003094,
conf_ad,fit_seconds,25.53427737657912,52.61234923580196,35.89227476359811,21.078045013034718,22.001525957649573,,22.02966582220979,
connect_4,fit_seconds,36.06024541100487,75.07608828239609,100.59875771137885,476.97820131359623,92.42019086298532,,207.78807191257366,
coronary,fit_seconds,15.65106317801401,24.363466624589638,23.95123572840821,18.131557176983915,26.36855473043397,,17.803197155799715,
credit_approval,fit_seconds,20.558139408333226,27.245513479039072,27.74339269560296,33.95948880696669,16.16446539182216,,38.379291410557926,
dmft,fit_seconds,14.06307161184959,12.096724759996869,38.12496762436349,21.852776014991104,14.194032366387546,,12.154450075374916,
german_gss,fit_seconds,56.43484716475941,27.150347267184408,37.03185791142751,44.66955720263068,37.386916775768626,,22.06298664943315,
hayesroth,fit_seconds,37.63972577541135,45.95243567239959,32.14545407302212,44.320750126009806,31.082792638381942,,43.35417895158753,
house_votes_84,fit_seconds,4.046948980010347,70.3505082633812,38.223497622809376,49.374352153204384,32.550046185776594,,44.19813175308518,
krkopt,fit_seconds,72.12291415352374,100.0815674052108,45.0514610143844,73.94888775043655,43.03569126604125,,42.10467811897397,
led7,fit_seconds,49.813508765771985,20.57379978939425,22.509323378792033,18.11741114882752,31.424183882772923,,15.671931272000075,
mofn,fit_seconds,58.645785913756114,16.564768340205774,38.42130131758749,48.938217039592566,33.583323241444305,,36.38140696636401,
nursery,fit_seconds,77.03567828661762,64.46798374762292,48.47302412763238,64.52251254154835,44.61414921004325,,57.626463456545025,
parity5p5,fit_seconds,20.02673910516314,32.73376779877581,22.08144348000642,15.220979144214652,12.205067329015582,,13.25983860627748,
phiusiil_phishing,fit_seconds,,132.27546950443647,,,260.4397699116031,,228.5570064489497,
ppd,fit_seconds,12.12386295106262,14.155964388232679,25.86722124221269,13.23123684960883,37.060534577444194,,12.556175553565845,
primary_tumor,fit_seconds,49.22053633979522,26.484209766844288,36.417030505998994,47.101255906396545,43.73799628494307,,49.62976508042775,
ptumor,fit_seconds,47.77015848984011,27.42130373879336,31.33458853957709,37.51415190161206,42.42208554213867,,27.902084770053627,
rt_iot2022,fit_seconds,,119.27597976019607,249.791887888615,5808.048566150246,445.7890675184084,,215.71086084877606,
secondary_mushroom,fit_seconds,74.03708165548741,57.68797992758918,82.63394978558645,388.7330287402263,62.10885191722773,,129.00499467854388,
sensorless_drive,fit_seconds,117.86934991981835,79.5974276876077,52.25343844862655,796.9005054088309,65.99786238782107,,96.51610825178213,
sensory,fit_seconds,21.09735455219634,14.746296786610037,12.102725414047018,36.151115374988876,16.240996371442453,,13.487783923977986,
shuttle,fit_seconds,107.8059967098292,34.596435105637646,44.419502891390586,54.22189265263732,103.97959807175212,,39.586942785605785,
skin_segmentation,fit_seconds,91.0099295228254,,,126.38366882218979,128.79904812560417,,120.67269035815261,
three_of_nine,fit_seconds,46.048219439014794,36.72447444901336,22.19863020675257,48.09355317060836,13.527556087169796,,37.770927323307845,
vehicle,fit_seconds,58.20568858003244,15.227059034025297,27.27859408641234,46.71664843342732,30.62389358622022,,30.808607962401585,
xd6,fit_seconds,30.33597686230205,28.60578939903062,31.97662850318011,50.369482984626664,25.660505138663574,,43.280478838598356,
AVERAGE,fit_seconds,48.519089742820825,52.35469836931986,44.5598162037994,292.79383082058666,72.98999216076166,,64.36692526197733,
aps_failure,test_seconds,,,,1.9861343984026463,,,,
asia_lung,test_seconds,0.3428560790605843,0.8729989469982684,0.39582788161933424,0.41692944038659335,0.4034142223652452,,0.4003591375891119,
balance_scale,test_seconds,0.2955292764119804,0.8583172291982919,0.3466322642052546,0.3990710879908875,0.3493190044071525,,0.36660730936564506,
car_evaluation,test_seconds,0.33426654008217155,0.4039041576208547,0.36923709420952944,0.3851742670172825,0.4120188323315233,,0.3795562922023237,
census_income_kdd,test_seconds,,3.285141875757836,,,3.034615802578628,,2.74634504931358,
cleveland,test_seconds,0.30124785178340974,0.48305280699860303,0.33418851578608155,0.3940685048000887,0.3693769505713135,,0.3732989652082324,
conf_ad,test_seconds,0.29649465158581734,0.6469464721623808,0.34461208002176136,0.38693275563418866,0.38404701175168154,,0.3716688682790846,
connect_4,test_seconds,1.0114495555870235,1.04078042821493,0.8083314786432311,2.368683997867629,0.9566212947946042,,0.970103395357728,
coronary,test_seconds,0.306782775465399,0.35453971137758344,0.3577557669952512,0.40960837199818345,0.3524046216160059,,0.3930712481960654,
credit_approval,test_seconds,0.33402106086723504,0.5520552085945383,0.3234377651941031,0.438597041205503,0.38839279878884553,,0.41819561435841024,
dmft,test_seconds,0.30979032088071107,0.5606518823886291,0.33390317142475395,0.3837397042196244,0.3835760506335646,,0.37049451782368126,
german_gss,test_seconds,0.28625036687590183,0.4789324367651716,0.34419132841285316,0.40292653020005675,0.36535409921780226,,0.3857569116167724,
hayesroth,test_seconds,0.3178124787751585,0.4927702443674207,0.339561682054773,0.37911230239551513,0.37108458345755935,,0.3737710827961564,
house_votes_84,test_seconds,0.08907880000333535,0.6247748780297115,0.36462383419275285,0.43389540382195263,0.3881484106648713,,0.37167627159506084,
krkopt,test_seconds,0.4545628416351974,0.6736350774299353,0.5051589611917734,0.5268793628085404,0.5399884837679565,,0.5179418130777776,
led7,test_seconds,0.3118309990502894,0.620216847024858,0.38014285939279946,0.45089608600828796,0.40221995902247726,,0.3869891464244574,
mofn,test_seconds,0.3169268501922488,0.34318670516368,0.3578038424020633,0.4261619098018855,0.35441085919737814,,0.36217405209317804,
nursery,test_seconds,0.40146021540276705,0.4678824388189241,0.4152204522164539,0.45506988698616624,0.461696104099974,,0.47933886195532976,
parity5p5,test_seconds,0.41751467902213335,0.46307011859025804,0.33453849479556086,0.6360128802247346,0.39608667520806196,,0.3709321681875736,
phiusiil_phishing,test_seconds,,3.156435134541243,,,2.4377705593942665,,2.4853713726159183,
ppd,test_seconds,0.35087964599952104,0.414816711191088,0.3303843928035349,0.4073938776506111,0.3650554906111211,,0.3729817986022681,
primary_tumor,test_seconds,0.3529848971869797,0.3370948589872569,0.39600697841960936,0.41936811979394406,0.36861911956220866,,0.46654849061742426,
ptumor,test_seconds,0.42924309805966915,0.39386609320063143,0.34857097163330764,0.39022522456943987,0.37122890246100726,,0.3780778226442635,
rt_iot2022,test_seconds,,2.1173208944033832,1.9436956367921083,11.972864733217284,1.7501599139999597,,2.093737701815553,
secondary_mushroom,test_seconds,0.7432958755642176,0.7603152232011781,0.6745979603845627,1.0564603617414832,0.7774077170528472,,0.7697299913968891,
sensorless_drive,test_seconds,0.8859739679843187,0.8466280175605789,0.9313281356124208,3.8329341105883943,0.9294589856173843,,1.3039293681737036,
sensory,test_seconds,0.30663036480545997,0.35997204596642407,0.3086513173533604,0.40491830157116054,0.3703283990267664,,0.3698902685195208,
shuttle,test_seconds,0.5812645435798913,0.63937349319458,0.5808900493895635,0.7505103410221636,0.6899150110315532,,0.6660849142353982,
skin_segmentation,test_seconds,1.55483259819448,,,1.3575162628199906,1.4426500083878637,,1.4347939054016023,
three_of_nine,test_seconds,0.31664853673428295,0.4777631292352453,0.3432426814222708,0.4602285704575479,0.3608837468083948,,0.3693589889910072,
vehicle,test_seconds,0.34614521721377967,0.35139796300791204,0.33004288277588784,0.42158082500100136,0.36161057497374716,,0.3706925433594733,
xd6,test_seconds,0.3188292880076915,0.4204492305871099,0.29123634719289837,0.426546405791305,0.3757991339545697,,0.35023257830180227,
AVERAGE,test_seconds,0.4398072634289876,0.7832763420192835,0.46906481523349486,1.106014702199803,0.6746343008824623,,0.6925713048424192,
aps_failure,total_seconds,,,,244.43631064207293,,,,
asia_lung,total_seconds,63.45587238529697,19.50431087696925,23.089083156804556,46.7866835138062,26.576329416781665,,26.667185088805855,
balance_scale,total_seconds,57.601133841089904,47.785237585590224,31.28131590918638,45.13206249622162,41.51256743180566,,43.3664866796229,
car_evaluation,total_seconds,60.23513313354924,46.40821114203427,39.62031005898025,46.87463871603832,36.858136454317716,,41.0694890413899,
census_income_kdd,total_seconds,,269.7118939519627,,,417.8791495744139,,235.0419549650202,
cleveland,total_seconds,35.35917303338647,37.06700232559815,28.607841375819408,19.588765120622703,31.013613559585064,,35.19701512521133,
conf_ad,total_seconds,25.830772028164937,53.25929570796434,36.23688684361987,21.464977768668906,22.385572969401256,,22.401334690488873,
connect_4,total_seconds,37.07169496659189,76.11686871061102,101.40708919002209,479.34688531146384,93.37681215777994,,208.75817530793137,
coronary,total_seconds,15.95784595347941,24.71800633596722,24.30899149540346,18.5411655489821,26.720959352049977,,18.19626840399578,
credit_approval,total_seconds,20.892160469200462,27.79756868763361,28.066830460797064,34.398085848172194,16.552858190611005,,38.797487024916336,
dmft,total_seconds,14.372861932730302,12.657376642385497,38.45887079578824,22.23651571921073,14.57760841702111,,12.524944593198597,
german_gss,total_seconds,56.721097531635316,27.629279703949578,37.376049239840356,45.07248373283073,37.75227087498642,,22.448743561049923,
hayesroth,total_seconds,37.95753825418651,46.44520591676701,32.485015755076894,44.699862428405325,31.4538772218395,,43.72795003438368,
house_votes_84,total_seconds,4.118212020013016,70.97528314141091,38.588121457002124,49.808247557026334,32.93819459644146,,44.56980802468024,
krkopt,total_seconds,72.57747699515895,100.75520248264074,45.556619975576176,74.4757671132451,43.575679749809204,,42.62261993205175,
led7,total_seconds,50.12533976482227,21.19401663641911,22.88946623818483,18.56830723483581,31.8264038417954,,16.05892041842453,
mofn,total_seconds,58.96271276394837,16.907955045369455,38.779105159989555,49.36437894939445,33.937734100641684,,36.74358101845719,
nursery,total_seconds,77.43713850202039,64.93586618644186,48.88824457984883,64.97758242853452,45.07584531414322,,58.10580231850035,
parity5p5,total_seconds,20.444253784185275,33.19683791736607,22.41598197480198,15.856992024439387,12.601154004223645,,13.630770774465054,
phiusiil_phishing,total_seconds,,135.43190463897773,,,262.87754047099736,,231.0423778215656,
ppd,total_seconds,12.474742597062141,14.570781099423765,26.197605635016224,13.638630727259443,37.425590068055314,,12.929157352168113,
primary_tumor,total_seconds,49.573521236982195,26.821304625831544,36.8130374844186,47.52062402619049,44.106615404505284,,50.09631357104517,
ptumor,total_seconds,48.19940158789977,27.81516983199399,31.6831595112104,37.9043771261815,42.79331444459967,,28.280162592697888,
rt_iot2022,total_seconds,,121.39330065459944,251.73558352540712,5820.021430883464,447.5392274324084,,217.8045985505916,
secondary_mushroom,total_seconds,74.78037753105164,58.448295150790365,83.30854774597101,389.7894891019678,62.88625963428058,,129.77472466994078,
sensorless_drive,total_seconds,118.75532388780266,80.44405570516828,53.18476658423897,800.7334395194193,66.92732137343846,,97.82003761995584,
sensory,total_seconds,21.4039849170018,15.106268832576461,12.411376731400377,36.556033676560034,16.611324770469217,,13.857674192497507,
shuttle,total_seconds,108.3872612534091,35.23580859883223,45.000392940780145,54.972402993659486,104.66951308278367,,40.253027699841184,
skin_segmentation,total_seconds,92.56476212101988,,,127.74118508500979,130.24169813399203,,122.10748426355421,
three_of_nine,total_seconds,46.36486797574908,37.20223757824861,22.54187288817484,48.553781741065904,13.888439833978191,,38.14028631229885,
vehicle,total_seconds,58.55183379724622,15.578456997033209,27.60863696918823,47.138229258428325,30.985504161193965,,31.179300505761056,
xd6,total_seconds,30.654806150309742,29.02623862961773,32.26786485037301,50.79602939041797,26.036304272618146,,43.630711416900155,
AVERAGE,total_seconds,48.95826072910693,53.13797471133914,45.028881019032895,293.8998455227865,73.66462646164415,,65.05949656681973,
